Category;Title;Ingredients
entree;Tomates à la mozzarella;huile d'olive, tomate, mozzarella, basilic frais
entree;Terrine de sanglier;épices, sel, poivre, poivre vert, sanglier, lard, chair à saucisse, foie, crépine, oeuf, pain, quatre-épices, gingembre, coriandre, cumin, thym, sel, poivre, oignon, vinaigre, vin blanc sec, laurier, genièvre
entree;Soupe de cerfeuil rapide;sel, poivre, beurre, courgette, oignon, cerfeuil, cube de bouillon, eau
entree;Velouté d'endive;sel, poivre, beurre, endive, pomme de terre, cube de bouillon, crème liquide, cerfeuil
entree;Court-bouillon de poisson créole;sel, poivre, thym, piment, oignon, eau, citron vert, poisson, ail
entree;Oeufs mimosas au thon;oeuf, mayonnaise, thon, salade
entree;Soupe à la citrouille de Véro;poivre, sel, crème fraîche, muscade, cube de bouillon, beurre, oignon, carotte, citrouille, ail, eau, pomme de terre
entree;Terrine de porc de ma grand-mère;truffe, poivre blanc, sel, persil, cognac, ail, échalote, vin blanc, foie, filet de porc, lard, épice Rabelais, oeuf, jus de citron
entree;La soupe qui plait, façon soup'maker rapide !;persil, poivre, oignon, carotte, tomate, échalote, cube de bouillon, ail
entree;La tourte aux champignons, si simple et si bon!;sel, poivre, crème fraîche, huile, emmental, pâte feuilletée, champignons de Paris, jaune d'oeuf
entree;Soupe de courgettes à la vache qui rit;sel, poivre, cube de bouillon, courgette, Vache qui rit®, ail, eau
entree;Petits feuilletés au saumon;pâte feuilletée, saumon fumé, oeuf
entree;Terrine de saumon rapide;sel, poivre, aneth, persil, saumon frais, oeuf, crème épaisse, basilic
entree;Soupe de carottes;muscade, sel, poivre, carotte, pomme de terre, eau, gruyère, citron, ail
entree;Brick à l'oeuf;huile, poivre, sel, persil, brick, oeuf, câpres, paprika
entree;Velouté de courgette;crème fraîche, beurre, courgette, bouillon de volaille
entree;Soupe crème de Panais;poivre, sel, huile d'olive, feuille de laurier, cube de bouillon, oignon, panais, échalote, crème liquide
entree;Soupe froide de courgettes à la menthe et chèvre frais;sel, poivre, huile d'olive, courgette, chèvre frais, menthe
entree;Tartare Saumon-Avocat;saumon frais, saumon fumé, avocat, échalote, yaourt nature, citron, ciboulette
entree;Velouté de courgettes;bouillon, courgette, Vache qui rit®
entree;Soupe d'asperges;thym, feuille de laurier, asperge, eau, pomme de terre, crème liquide, jaune d'oeuf
entree;Tartine de chèvre au miel;cumin, miel, pain, bûche de chèvre
entree;Potage Dubarry;crème fraîche, poivre, sel, beurre, farine, chou-fleur, eau, lait, jaune d'oeuf
entree;Terrine de poisson au basilic au Thermomix;crème fraîche, truite, poisson, oeuf, concentré de tomates, basilic, sel et poivre
